timestamp: 1468920974, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 0.0000, current latitude: 0.0000, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920974, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 0.0000, current latitude: 0.0000, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920974, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 0.0000, current latitude: 0.0000, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920974, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 0.0000, current latitude: 0.0000, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920975, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 47.70, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920976, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 54.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920977, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.60, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920978, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920978, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920978, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920978, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920978, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.90, currentPower: 0.00, currentTorque: 0.00
timestamp: 1468920978, brakes: 0, current pwm signal:7, current velocity: 0.000000, current longitude: 7.1814, current latitude: 50.7799, current altitude: 55.90, currentPower: 0.00, currentTorque: 0.00
